bootstrap_iter,sample_size,ari_vs_full,n_clusters,noise_frac
0,5,0.0,0,1.0
1,5,0.0,0,1.0
2,5,1.0,0,1.0
3,5,1.0,1,0.6
4,5,0.0,0,1.0
5,5,0.0,0,1.0
6,5,0.0,0,1.0
7,5,0.0,0,1.0
8,5,0.0,0,1.0
9,5,0.0,0,1.0
10,5,0.0,0,1.0
11,5,1.0,1,0.6
12,5,1.0,1,0.6
13,5,0.0,0,1.0
14,5,0.0,0,1.0
15,5,0.0,0,1.0
16,5,0.0,0,1.0
17,5,1.0,1,0.6
18,5,1.0,1,0.6
19,5,0.0,0,1.0
20,5,0.0,0,1.0
21,5,1.0,1,0.6
22,5,1.0,1,0.6
23,5,0.0,0,1.0
24,5,1.0,1,0.6
25,5,1.0,1,0.6
26,5,1.0,0,1.0
27,5,0.0,0,1.0
28,5,1.0,1,0.6
29,5,1.0,0,1.0
30,5,0.0,0,1.0
31,5,0.0,0,1.0
32,5,0.0,0,1.0
33,5,0.0,0,1.0
34,5,1.0,1,0.6
35,5,0.0,0,1.0
36,5,1.0,1,0.6
37,5,1.0,1,0.6
38,5,1.0,1,0.6
39,5,1.0,1,0.6
40,5,0.0,0,1.0
41,5,1.0,1,0.6
42,5,0.0,0,1.0
43,5,0.0,0,1.0
44,5,1.0,1,0.6
45,5,0.0,0,1.0
46,5,1.0,1,0.6
47,5,1.0,1,0.6
48,5,0.0,0,1.0
49,5,0.0,0,1.0
50,5,0.0,0,1.0
51,5,1.0,1,0.6
52,5,1.0,1,0.6
53,5,0.0,0,1.0
54,5,0.0,0,1.0
55,5,1.0,1,0.6
56,5,0.0,0,1.0
57,5,0.0,0,1.0
58,5,1.0,1,0.6
59,5,1.0,0,1.0
60,5,0.0,0,1.0
61,5,1.0,1,0.6
62,5,1.0,1,0.6
63,5,1.0,1,0.6
64,5,0.0,0,1.0
65,5,1.0,1,0.6
66,5,1.0,1,0.6
67,5,1.0,1,0.6
68,5,0.0,0,1.0
69,5,1.0,1,0.6
70,5,1.0,1,0.6
71,5,0.0,0,1.0
72,5,1.0,1,0.6
73,5,1.0,1,0.6
74,5,1.0,1,0.6
75,5,1.0,1,0.6
76,5,0.0,0,1.0
77,5,0.0,0,1.0
78,5,0.0,0,1.0
79,5,1.0,1,0.6
80,5,1.0,1,0.6
81,5,0.0,0,1.0
82,5,1.0,1,0.6
83,5,1.0,1,0.6
84,5,1.0,1,0.6
85,5,1.0,1,0.6
86,5,0.0,0,1.0
87,5,0.0,0,1.0
88,5,1.0,1,0.6
89,5,0.0,0,1.0
90,5,0.0,0,1.0
91,5,1.0,1,0.6
92,5,0.0,0,1.0
93,5,0.0,0,1.0
94,5,1.0,1,0.6
95,5,0.0,0,1.0
96,5,0.0,0,1.0
97,5,0.0,0,1.0
98,5,0.0,0,1.0
99,5,1.0,1,0.6
