bootstrap_iter,sample_size,ari_vs_full,n_clusters,noise_frac
0,5,1.0,1,0.4
1,5,0.16666666666666666,1,0.6
2,5,1.0,1,0.2
3,5,1.0,1,0.4
4,5,0.16666666666666666,1,0.6
5,5,1.0,1,0.2
6,5,1.0,1,0.4
7,5,1.0,1,0.4
8,5,1.0,1,0.4
9,5,0.16666666666666666,1,0.6
10,5,1.0,1,0.0
11,5,1.0,1,0.2
12,5,0.2857142857142857,2,0.2
13,5,1.0,1,0.4
14,5,1.0,1,0.4
15,5,1.0,1,0.2
16,5,1.0,1,0.4
17,5,0.16666666666666666,1,0.6
18,5,1.0,1,0.4
19,5,1.0,1,0.4
20,5,1.0,1,0.0
21,5,0.23076923076923078,1,0.4
22,5,0.16666666666666666,1,0.6
23,5,0.16666666666666666,1,0.6
24,5,1.0,1,0.2
25,5,0.16666666666666666,1,0.6
26,5,1.0,1,0.2
27,5,0.23076923076923078,1,0.4
28,5,0.23076923076923078,1,0.4
29,5,1.0,1,0.2
30,5,0.2857142857142857,2,0.2
31,5,0.16666666666666666,1,0.6
32,5,1.0,1,0.4
33,5,0.2857142857142857,2,0.2
34,5,1.0,1,0.2
35,5,1.0,1,0.2
36,5,0.16666666666666666,1,0.6
37,5,0.16666666666666666,1,0.6
38,5,1.0,1,0.2
39,5,1.0,1,0.4
40,5,0.2857142857142857,2,0.2
41,5,1.0,1,0.2
42,5,0.16666666666666666,1,0.6
43,5,0.16666666666666666,1,0.6
44,5,0.16666666666666666,1,0.6
45,5,0.2857142857142857,2,0.2
46,5,0.2857142857142857,2,0.2
47,5,0.23076923076923078,1,0.4
48,5,0.2857142857142857,2,0.2
49,5,1.0,1,0.4
50,5,0.16666666666666666,1,0.6
51,5,1.0,1,0.4
52,5,1.0,1,0.2
53,5,0.16666666666666666,1,0.6
54,5,1.0,1,0.4
55,5,1.0,1,0.2
56,5,1.0,1,0.2
57,5,0.23076923076923078,1,0.4
58,5,0.16666666666666666,1,0.6
59,5,1.0,1,0.2
60,5,1.0,1,0.0
61,5,1.0,1,0.2
62,5,1.0,1,0.2
63,5,1.0,1,0.2
64,5,0.2857142857142857,2,0.2
65,5,0.2857142857142857,2,0.2
66,5,1.0,1,0.2
67,5,1.0,1,0.2
68,5,1.0,1,0.4
69,5,0.16666666666666666,1,0.6
70,5,1.0,1,0.2
71,5,0.23076923076923078,1,0.4
72,5,1.0,1,0.2
73,5,0.23076923076923078,1,0.4
74,5,0.16666666666666666,1,0.6
75,5,1.0,1,0.4
76,5,1.0,1,0.2
77,5,1.0,1,0.2
78,5,1.0,1,0.2
79,5,0.23076923076923078,1,0.4
80,5,0.16666666666666666,1,0.6
81,5,1.0,1,0.4
82,5,0.2857142857142857,2,0.2
83,5,0.16666666666666666,1,0.6
84,5,0.16666666666666666,1,0.6
85,5,0.23076923076923078,1,0.4
86,5,1.0,1,0.4
87,5,0.23076923076923078,1,0.4
88,5,0.16666666666666666,1,0.6
89,5,1.0,1,0.4
90,5,1.0,1,0.0
91,5,1.0,1,0.4
92,5,1.0,1,0.0
93,5,1.0,1,0.4
94,5,1.0,1,0.2
95,5,1.0,1,0.2
96,5,1.0,1,0.4
97,5,1.0,1,0.4
98,5,1.0,1,0.4
99,5,0.16666666666666666,1,0.6
