bootstrap_iter,sample_size,ari_vs_full,n_clusters,noise_frac
0,16,0.9757869249394673,4,0.125
1,16,0.8245614035087719,5,0.125
2,16,0.9443671766342142,4,0.1875
3,16,0.6952380952380952,5,0.25
4,16,0.7124600638977636,4,0.25
5,16,0.7142857142857143,6,0.125
6,16,0.8192090395480226,3,0.3125
7,16,0.8279569892473119,6,0.125
8,16,0.9726526891522334,4,0.125
9,16,0.7113997113997114,4,0.25
10,16,1.0,5,0.125
11,16,1.0,5,0.0625
12,16,0.7124600638977636,4,0.25
13,16,0.8721227621483376,3,0.25
14,16,0.9757869249394673,4,0.125
15,16,1.0,5,0.125
16,16,0.6360485268630849,3,0.3125
17,16,0.8888888888888888,4,0.25
18,16,1.0,5,0.125
19,16,0.9310344827586207,3,0.1875
20,16,0.9375,4,0.1875
21,16,1.0,5,0.125
22,16,0.9375,4,0.1875
23,16,1.0,5,0.125
24,16,1.0,5,0.0625
25,16,0.875195007800312,4,0.25
26,16,0.7727272727272727,6,0.0625
27,16,0.8245614035087719,5,0.125
28,16,0.9757869249394673,4,0.125
29,16,0.9757869249394673,4,0.125
30,16,0.7837837837837838,5,0.1875
31,16,0.7549591598599766,5,0.125
32,16,0.9443671766342142,4,0.1875
33,16,0.8477157360406091,5,0.125
34,16,0.8192090395480226,3,0.3125
35,16,0.9091940976163451,3,0.25
36,16,1.0,5,0.0625
37,16,0.8477157360406091,5,0.125
38,16,0.9375,4,0.1875
39,16,0.875195007800312,4,0.25
40,16,0.7549591598599766,5,0.125
41,16,1.0,5,0.0625
42,16,0.950920245398773,4,0.1875
43,16,0.7837837837837838,5,0.1875
44,16,0.9375,4,0.1875
45,16,0.7113997113997114,4,0.25
46,16,0.8279569892473119,6,0.125
47,16,0.9443671766342142,4,0.1875
48,16,0.7124600638977636,4,0.25
49,16,0.7124600638977636,4,0.25
50,16,0.803921568627451,5,0.1875
51,16,1.0,5,0.0625
52,16,0.9375,4,0.1875
53,16,0.6747967479674797,5,0.1875
54,16,1.0,5,0.125
55,16,0.803921568627451,5,0.1875
56,16,1.0,4,0.125
57,16,0.6747967479674797,5,0.1875
58,16,0.7124600638977636,4,0.25
59,16,1.0,5,0.0625
60,16,0.803921568627451,5,0.1875
61,16,1.0,5,0.125
62,16,1.0,5,0.125
63,16,1.0,5,0.125
64,16,0.9726526891522334,4,0.125
65,16,0.6360485268630849,3,0.3125
66,16,0.950920245398773,4,0.1875
67,16,1.0,5,0.125
68,16,1.0,4,0.0625
69,16,0.9443671766342142,4,0.1875
70,16,0.7692307692307693,4,0.1875
71,16,0.950920245398773,4,0.1875
72,16,0.6086956521739131,4,0.3125
73,16,0.9726526891522334,4,0.125
74,16,0.7122302158273381,5,0.1875
75,16,0.7124600638977636,4,0.25
76,16,0.9375,4,0.1875
77,16,1.0,5,0.0625
78,16,1.0,5,0.125
79,16,0.9693877551020408,4,0.125
80,16,0.8245614035087719,5,0.125
81,16,0.7124600638977636,4,0.25
82,16,0.8279569892473119,6,0.125
83,16,0.9726526891522334,4,0.125
84,16,0.7122302158273381,5,0.1875
85,16,0.950920245398773,4,0.1875
86,16,1.0,5,0.0625
87,16,0.9726526891522334,4,0.125
88,16,0.7142857142857143,5,0.125
89,16,0.9693877551020408,4,0.125
90,16,0.9443671766342142,4,0.1875
91,16,0.9310344827586207,3,0.1875
92,16,0.950920245398773,4,0.1875
93,16,0.9443671766342142,4,0.1875
94,16,0.9693877551020408,4,0.125
95,16,1.0,5,0.125
96,16,1.0,5,0.125
97,16,0.7790055248618785,3,0.3125
98,16,0.8721227621483376,3,0.25
99,16,0.9726526891522334,4,0.125
