bootstrap_iter,sample_size,ari_vs_full,n_clusters,noise_frac
0,16,0.9426751592356688,2,0.25
1,16,1.0,3,0.1875
2,16,1.0,3,0.1875
3,16,1.0,3,0.25
4,16,1.0,3,0.25
5,16,0.919436052366566,2,0.3125
6,16,1.0,3,0.125
7,16,1.0,3,0.1875
8,16,1.0,3,0.125
9,16,1.0,3,0.1875
10,16,0.7820823244552058,3,0.3125
11,16,1.0,3,0.25
12,16,1.0,3,0.25
13,16,1.0,3,0.125
14,16,0.919436052366566,2,0.3125
15,16,0.919436052366566,2,0.3125
16,16,1.0,3,0.1875
17,16,1.0,3,0.25
18,16,0.7877358490566038,3,0.3125
19,16,1.0,3,0.125
20,16,0.803680981595092,3,0.25
21,16,0.7820823244552058,3,0.3125
22,16,0.803680981595092,3,0.25
23,16,0.7978947368421052,3,0.3125
24,16,0.9165217391304348,2,0.3125
25,16,0.7877358490566038,3,0.3125
26,16,1.0,3,0.1875
27,16,1.0,3,0.1875
28,16,1.0,3,0.1875
29,16,1.0,3,0.125
30,16,1.0,3,0.25
31,16,1.0,3,0.1875
32,16,1.0,3,0.1875
33,16,1.0,3,0.25
34,16,0.9241226683528296,2,0.3125
35,16,1.0,3,0.125
36,16,0.9400399733510992,2,0.25
37,16,1.0,3,0.25
38,16,0.8137369033760187,3,0.25
39,16,0.7820823244552058,3,0.3125
40,16,1.0,3,0.1875
41,16,0.9426751592356688,2,0.25
42,16,0.9241226683528296,2,0.3125
43,16,1.0,3,0.25
44,16,0.8137369033760187,3,0.25
45,16,1.0,3,0.25
46,16,1.0,3,0.25
47,16,1.0,3,0.1875
48,16,1.0,3,0.1875
49,16,0.8350353495679497,3,0.1875
50,16,1.0,3,0.25
51,16,1.0,3,0.25
52,16,0.8137369033760187,3,0.25
53,16,1.0,3,0.1875
54,16,0.8257261410788381,3,0.25
55,16,1.0,3,0.25
56,16,1.0,3,0.125
57,16,1.0,3,0.1875
58,16,0.803680981595092,3,0.25
59,16,0.919436052366566,2,0.3125
60,16,0.7978947368421052,3,0.3125
61,16,0.7877358490566038,3,0.3125
62,16,1.0,3,0.25
63,16,0.7877358490566038,3,0.3125
64,16,1.0,3,0.1875
65,16,1.0,3,0.1875
66,16,0.9241226683528296,2,0.3125
67,16,0.7978947368421052,3,0.3125
68,16,1.0,3,0.125
69,16,0.919436052366566,2,0.3125
70,16,1.0,3,0.125
71,16,1.0,3,0.1875
72,16,1.0,3,0.1875
73,16,1.0,3,0.125
74,16,1.0,3,0.125
75,16,1.0,3,0.1875
76,16,1.0,3,0.1875
77,16,1.0,3,0.25
78,16,0.7978947368421052,3,0.3125
79,16,1.0,3,0.1875
80,16,1.0,3,0.1875
81,16,0.7877358490566038,3,0.3125
82,16,1.0,3,0.25
83,16,1.0,3,0.125
84,16,1.0,3,0.1875
85,16,1.0,3,0.1875
86,16,1.0,3,0.1875
87,16,1.0,3,0.125
88,16,1.0,3,0.25
89,16,0.8350353495679497,3,0.1875
90,16,1.0,3,0.1875
91,16,1.0,3,0.1875
92,16,1.0,2,0.25
93,16,0.7979041916167665,3,0.25
94,16,1.0,3,0.1875
95,16,0.8257261410788381,3,0.25
96,16,0.7978947368421052,3,0.3125
97,16,0.803680981595092,3,0.25
98,16,1.0,3,0.125
99,16,1.0,3,0.125
