Ground_Truth,KNN,SVM_Linear,SVM_Gaussian,Gaussian_PC,Decision_Tree_C,Random_Forest_C,MLPC,Ada_Boost_C,Gaussian_NB,Gradient_BC,SGDC
4,4,4,4,4,4,4,4,1,4,4,4
7,7,1,7,7,1,1,7,1,7,1,1
1,1,1,1,1,7,1,1,1,7,4,1
6,6,6,6,6,0,6,6,0,6,6,6
7,7,7,7,7,7,7,7,0,7,7,7
5,7,5,5,5,5,5,5,0,7,5,5
1,1,1,1,1,1,1,1,1,1,1,1
7,7,7,7,7,7,7,7,0,7,7,7
0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,4,4,4,4,4,1,1,4,4
0,0,0,0,0,5,0,0,0,0,5,0
5,5,5,5,5,5,5,5,0,7,5,5
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,7,0,0,0,0,0,0
7,7,7,7,7,7,7,7,0,7,7,7
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,7,0,0,0,0,7,0
7,7,7,7,7,7,7,7,0,7,7,7
7,7,4,7,7,7,7,7,0,7,7,7
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,1,1,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
7,7,7,7,7,7,7,7,0,7,7,7
0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,1,1,1,1,1,1,1,1,4
1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,1,1,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,1,1,4,1,1,1,7,4,4
4,4,4,4,4,4,4,4,1,4,4,4
7,7,7,7,7,7,7,7,0,7,7,7
0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,4,4,4,4,1,4,4,4
7,7,7,7,7,7,7,7,0,7,7,7
7,7,7,7,7,7,7,7,0,7,7,7
1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
7,7,7,7,7,0,0,7,0,7,0,7
1,1,1,1,1,1,1,1,1,1,1,4
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,4,4,4,4,1,4,4,4
7,7,7,7,7,4,1,7,1,7,1,7
0,0,0,0,0,0,0,0,0,0,0,6
1,1,1,1,1,7,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,4,4,4,4,4,4,4,1,4,4,4
3,6,4,1,1,1,1,4,1,4,1,4
5,5,5,5,5,5,5,5,0,7,5,5
1,1,1,1,1,1,1,1,1,1,1,1
1,1,4,4,4,4,4,4,1,1,4,4
0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,1,1,1,1,1,1,1,1,4
1,4,4,4,4,4,4,4,1,4,4,4
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,1,1,1,1,1,1,1,1,4
4,4,4,4,4,4,4,4,1,7,4,4
1,1,1,1,1,1,1,1,1,1,1,1
5,5,5,5,5,5,5,5,0,7,5,5
7,7,7,7,7,7,7,7,0,7,7,7
0,0,0,0,0,0,0,0,0,0,0,0
1,4,4,4,4,4,4,4,1,4,4,4
5,7,5,5,5,7,7,5,0,7,7,5
5,5,5,5,5,6,5,5,0,7,5,5
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
6,6,6,6,6,6,6,6,1,6,6,6
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,1,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0
7,7,7,7,7,1,7,7,1,7,7,7
4,4,4,4,4,4,4,4,1,4,4,4
7,7,7,7,7,7,7,7,0,7,7,7
1,1,1,4,4,1,1,4,1,4,4,4
1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,7,0,0,0,0,0,0
2,7,4,7,7,3,7,7,0,7,7,4
0,0,0,0,0,0,0,0,0,0,0,0
7,7,7,7,7,7,0,7,0,7,0,7
0,0,0,0,0,5,0,0,0,0,5,5
5,5,5,5,5,4,5,5,1,7,5,5
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,4,4,4,4,1,7,4,4
1,1,1,1,1,1,1,1,1,1,1,1
1,1,7,1,1,4,1,1,1,7,1,4
0,0,0,0,0,0,0,0,0,0,0,0
7,7,7,7,7,7,7,7,0,7,7,7
