ACCESS1.0,ACCESS1.3,CNRM-CM5,CanESM2,GISS-E2-R,MRI-CGCM3,NorESM1-M,Observation
236.29576110839844,236.37095642089844,236.03314208984375,241.18309020996094,234.40969848632812,240.92185974121094,236.62461853027344,258.1187744140625
236.17486572265625,237.0142059326172,236.2363739013672,241.4962921142578,235.01400756835938,240.64492797851562,236.06430053710938,258.1814880371094
236.16085815429688,236.79483032226562,236.3575439453125,240.99349975585938,234.50364685058594,240.7859344482422,235.9575653076172,258.4454040527344
235.84861755371094,236.4359588623047,236.21542358398438,240.4534149169922,234.3384552001953,240.27877807617188,235.90609741210938,258.6393737792969
235.93458557128906,236.25730895996094,236.19602966308594,240.27906799316406,234.5087890625,239.85757446289062,235.6046905517578,258.9984130859375
236.4633026123047,236.6428680419922,236.53677368164062,240.99156188964844,234.9524383544922,239.94129943847656,235.6030731201172,260.6095886230469
236.63897705078125,236.7836151123047,236.5188751220703,241.41033935546875,234.94772338867188,240.10000610351562,235.8921356201172,261.4726257324219
236.13345336914062,236.23370361328125,236.41868591308594,241.03408813476562,234.91036987304688,239.81956481933594,236.7456817626953,260.53729248046875
235.37594604492188,235.37196350097656,235.6790313720703,240.24510192871094,234.39918518066406,239.47174072265625,235.9442901611328,259.9241027832031
235.0359344482422,234.8872528076172,235.27536010742188,240.1317901611328,234.12814331054688,239.72853088378906,235.66189575195312,258.85479736328125
235.8579864501953,235.185791015625,235.14617919921875,241.10040283203125,233.91470336914062,240.12884521484375,235.5430450439453,258.0627136230469
236.0496063232422,235.53018188476562,235.4952392578125,241.94847106933594,234.0705108642578,240.26559448242188,236.01730346679688,257.8535461425781
235.73956298828125,236.05648803710938,236.19189453125,242.23170471191406,234.62823486328125,241.193603515625,236.15248107910156,257.9720458984375
235.60928344726562,236.0387420654297,236.06031799316406,241.2612762451172,235.0082244873047,241.41049194335938,236.03445434570312,257.97747802734375
235.52503967285156,236.6311492919922,236.0241241455078,239.63778686523438,234.25318908691406,240.57398986816406,236.11288452148438,258.3681640625
235.352294921875,236.3280029296875,236.0882568359375,239.38890075683594,234.35279846191406,240.12034606933594,235.8516845703125,258.7002258300781
235.8379364013672,236.05271911621094,236.03927612304688,240.13795471191406,234.69680786132812,239.9467010498047,235.94049072265625,259.006103515625
236.30027770996094,236.33856201171875,236.34776306152344,240.64224243164062,234.86961364746094,239.95445251464844,235.82412719726562,260.54705810546875
236.37188720703125,236.5258026123047,236.5067138671875,241.0795440673828,234.9512176513672,239.8572998046875,235.82191467285156,260.98651123046875
236.14376831054688,236.01458740234375,236.23252868652344,240.88111877441406,234.8326873779297,239.97152709960938,235.624267578125,260.6182556152344
235.30007934570312,235.26028442382812,235.57565307617188,239.93907165527344,234.42208862304688,239.7743682861328,235.1588134765625,259.5023498535156
235.1468048095703,234.9347686767578,234.8624725341797,239.93687438964844,234.05088806152344,239.90040588378906,234.83221435546875,258.5946350097656
235.4270477294922,235.47634887695312,235.06251525878906,240.95851135253906,234.14300537109375,239.9493865966797,235.0518341064453,257.74530029296875
236.20660400390625,235.30575561523438,235.55226135253906,241.60328674316406,234.3822784423828,240.6361541748047,236.0917205810547,257.52197265625
236.07977294921875,235.93609619140625,236.1422882080078,241.83741760253906,234.1988983154297,240.89962768554688,236.61972045898438,257.2320251464844
236.10939025878906,235.54200744628906,235.7452850341797,240.13372802734375,234.5382843017578,240.46066284179688,236.04212951660156,257.7426452636719
235.978271484375,236.06326293945312,236.09307861328125,239.1655731201172,234.34323120117188,240.31614685058594,235.87586975097656,258.34991455078125
236.07810974121094,236.3226318359375,236.0084686279297,239.9223175048828,234.67698669433594,240.2083740234375,235.67347717285156,258.7038269042969
236.4702911376953,236.60215759277344,236.19358825683594,240.69798278808594,234.73355102539062,240.09373474121094,235.74575805664062,259.6453857421875
236.62010192871094,236.76034545898438,236.4785919189453,241.20742797851562,234.96218872070312,240.1700897216797,236.0962371826172,260.7774963378906
236.1975555419922,236.05059814453125,236.1729278564453,240.85122680664062,234.81011962890625,239.6784210205078,236.1894073486328,260.1701354980469
235.6737518310547,235.25051879882812,235.57778930664062,240.38319396972656,234.34107971191406,239.5124969482422,236.19630432128906,259.5316467285156
235.26788330078125,234.82345581054688,235.12684631347656,240.12803649902344,234.18800354003906,239.71424865722656,235.8968048095703,258.29803466796875
235.71607971191406,235.27352905273438,235.29017639160156,241.1975555419922,233.78643798828125,240.31072998046875,235.55055236816406,257.6899108886719
236.36312866210938,235.68077087402344,235.81121826171875,241.39193725585938,234.00460815429688,240.5482635498047,235.98806762695312,257.64959716796875
236.4466552734375,235.67526245117188,236.0370635986328,242.13401794433594,234.43653869628906,241.05438232421875,236.5383758544922,257.5701904296875
235.592041015625,235.4296112060547,235.56072998046875,241.560546875,234.59962463378906,240.79600524902344,236.25914001464844,257.66534423828125
235.39317321777344,235.70004272460938,236.01695251464844,240.66490173339844,234.436279296875,240.160888671875,235.3905792236328,257.9576416015625
235.50762939453125,235.73947143554688,236.3456573486328,239.619140625,234.35943603515625,239.82559204101562,235.46493530273438,258.0166931152344
236.1171875,235.9571990966797,236.2603302001953,240.07774353027344,234.6761932373047,239.72604370117188,235.52806091308594,258.9094543457031
236.42840576171875,236.47064208984375,236.57566833496094,240.61825561523438,234.88327026367188,239.90489196777344,235.8979949951172,259.7738952636719
236.4663543701172,236.48321533203125,236.68304443359375,241.58416748046875,235.13230895996094,239.99916076660156,235.93313598632812,261.1334533691406
235.9714813232422,236.1225128173828,236.2630615234375,241.12107849121094,234.95550537109375,239.89857482910156,236.5110321044922,260.1951904296875
235.25685119628906,235.28875732421875,235.50363159179688,240.20330810546875,234.33358764648438,239.6664581298828,236.0288848876953,259.53265380859375
234.87120056152344,235.1050262451172,235.2232666015625,239.889404296875,234.01708984375,239.5847625732422,234.9969024658203,258.55499267578125
235.41860961914062,235.83663940429688,234.904052734375,240.14834594726562,233.8070526123047,239.86776733398438,235.04359436035156,258.0048828125
235.90260314941406,235.9922637939453,235.6114501953125,241.48362731933594,234.27455139160156,240.28509521484375,235.8731231689453,257.7180480957031
235.6835174560547,236.5381622314453,235.96685791015625,242.1367645263672,234.5870361328125,240.38978576660156,235.9181671142578,254.92971801757812
235.99411010742188,235.6250762939453,235.63644409179688,240.61279296875,234.65133666992188,240.8026123046875,235.77491760253906,257.945556640625
235.2377166748047,235.4754180908203,236.24884033203125,239.30665588378906,234.3144073486328,240.591796875,235.933837890625,258.4002990722656
235.24290466308594,236.16342163085938,236.1505126953125,239.6062469482422,234.70912170410156,240.0948944091797,235.6024932861328,258.4669189453125
236.03652954101562,236.14100646972656,236.12673950195312,240.1804656982422,234.644287109375,239.76199340820312,235.4717559814453,259.0950927734375
236.25918579101562,236.50881958007812,236.3074951171875,241.031494140625,234.8416290283203,239.83641052246094,235.5791015625,260.4927673339844
236.27003479003906,236.66629028320312,236.6300048828125,241.22378540039062,234.99961853027344,239.8234100341797,235.89395141601562,260.7725830078125
236.0416717529297,236.2354278564453,236.56639099121094,240.947509765625,234.7991485595703,239.83395385742188,235.5691680908203,260.4228820800781
235.29360961914062,235.43572998046875,235.90029907226562,240.15911865234375,234.25360107421875,239.8455810546875,235.0701141357422,259.61981201171875
234.95640563964844,235.2291259765625,235.59378051757812,240.34080505371094,234.10824584960938,239.43585205078125,235.07684326171875,258.2850036621094
235.52345275878906,236.2170867919922,235.77577209472656,241.14785766601562,233.87916564941406,239.65322875976562,235.1615447998047,257.1546325683594
235.56625366210938,236.506591796875,236.04981994628906,241.31309509277344,234.2788848876953,240.2540740966797,235.54981994628906,257.2625427246094
