Wine_0,Wine_1,Wine_10,Wine_11,Wine_12,Wine_13,Wine_14,Wine_15,Wine_16,Wine_17,Wine_18,Wine_19,Wine_2,Wine_20,Wine_21,Wine_22,Wine_23,Wine_24,Wine_25,Wine_26,Wine_27,Wine_28,Wine_29,Wine_3,Wine_30,Wine_31,Wine_32,Wine_33,Wine_34,Wine_35,Wine_36,Wine_37,Wine_38,Wine_39,Wine_4,Wine_40,Wine_41,Wine_42,Wine_43,Wine_44,Wine_45,Wine_46,Wine_47,Wine_48,Wine_49,Wine_5,Wine_6,Wine_7,Wine_8,Wine_9,Median
9.4,9.8,9.2,10.5,9.9,9.1,9.2,9.2,10.5,9.3,9.0,9.2,9.8,9.4,9.7,9.5,9.4,9.7,9.3,9.5,9.5,9.4,9.8,9.8,10.1,10.6,9.8,9.4,9.2,9.6,10.8,9.7,9.8,10.5,9.4,10.5,9.3,10.5,10.3,9.5,13.1,9.2,9.5,9.2,9.2,9.4,9.4,10.0,9.5,10.5,9.5
0.076,0.098,0.097,0.071,0.089,0.114,0.176,0.17,0.092,0.368,0.086,0.341,0.092,0.077,0.082,0.106,0.084,0.085,0.08,0.08,0.106,0.08,0.082,0.075,0.089,0.105,0.083,0.073,0.103,0.086,0.086,0.066,0.172,0.074,0.076,0.074,0.088,0.332,0.069,0.05,0.054,0.114,0.113,0.066,0.074,0.075,0.069,0.065,0.073,0.071,0.0835
0.0,0.0,0.08,0.36,0.0,0.29,0.18,0.19,0.56,0.28,0.08,0.51,0.04,0.48,0.31,0.21,0.11,0.14,0.16,0.24,0.21,0.0,0.0,0.56,0.07,0.0,0.12,0.12,0.25,0.0,0.14,0.28,0.09,0.36,0.0,0.36,0.3,0.2,0.22,0.02,0.15,0.43,0.52,0.23,0.37,0.0,0.06,0.0,0.02,0.36,0.16999999999999998
0.9978,0.9968,0.9959,0.9978,0.9943,0.9974,0.9986,0.9986,0.9969,0.9968,0.9974,0.9969,0.997,0.9968,0.9982,0.9966,0.9968,0.9968,0.9955,0.9962,0.9966,0.9972,0.9964,0.998,0.9958,0.9966,0.9966,0.9993,0.9957,0.9986,0.9975,0.9968,0.994,0.9978,0.9978,0.9978,0.9976,0.9968,0.9968,0.9962,0.9934,0.997,0.9969,0.9958,0.9954,0.9978,0.9964,0.9946,0.9968,0.9978,0.9968
7.4,7.8,6.7,7.5,5.6,7.8,8.9,8.9,8.5,8.1,7.4,7.9,7.8,8.9,7.6,7.9,8.5,6.9,6.3,7.6,7.9,7.1,7.8,11.2,6.7,6.9,8.3,6.9,5.2,7.8,7.8,8.1,5.7,7.3,7.4,7.3,8.8,7.5,8.1,6.8,4.6,7.7,8.7,6.4,5.6,7.4,7.9,7.3,7.8,7.5,7.6
11.0,25.0,15.0,17.0,16.0,9.0,52.0,51.0,35.0,16.0,6.0,17.0,15.0,29.0,23.0,10.0,9.0,21.0,11.0,4.0,10.0,14.0,8.0,17.0,17.0,22.0,15.0,40.0,13.0,5.0,3.0,13.0,7.0,12.0,11.0,12.0,17.0,8.0,9.0,5.0,8.0,22.0,12.0,5.0,12.0,13.0,15.0,15.0,9.0,17.0,13.0
3.51,3.2,3.28,3.35,3.58,3.26,3.16,3.17,3.3,3.11,3.38,3.04,3.26,3.39,3.52,3.17,3.17,3.43,3.34,3.28,3.17,3.47,3.38,3.16,3.35,3.46,3.17,3.45,3.38,3.4,3.42,3.23,3.5,3.33,3.51,3.33,3.26,3.21,3.3,3.48,3.9,3.25,3.25,3.34,3.32,3.51,3.3,3.39,3.36,3.35,3.335
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,4.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,7.0,4.0,5.0,5.0,5.0,4.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,5.0,5.0
1.9,2.6,1.8,6.1,1.6,1.6,3.8,3.9,1.8,1.7,4.4,1.8,2.3,1.8,2.3,1.6,2.3,2.4,1.4,1.8,1.6,1.9,2.0,1.9,2.4,2.5,2.3,10.7,1.8,5.5,2.4,2.1,1.5,5.9,1.9,5.9,2.8,2.6,2.2,1.8,2.1,2.2,1.6,1.6,1.4,1.8,1.6,1.2,2.0,6.1,2.0
0.56,0.68,0.54,0.8,0.52,1.56,0.88,0.93,0.75,1.28,0.5,1.08,0.65,0.53,0.65,0.91,0.53,0.63,0.56,0.59,0.91,0.55,0.59,0.58,0.54,0.57,0.66,0.52,0.55,0.55,0.6,0.73,0.48,0.83,0.56,0.83,0.51,0.9,1.2,0.52,0.56,0.73,0.58,0.56,0.58,0.56,0.46,0.47,0.57,0.8,0.58
34.0,67.0,65.0,102.0,59.0,29.0,145.0,148.0,103.0,56.0,29.0,56.0,54.0,60.0,71.0,37.0,67.0,40.0,23.0,11.0,37.0,35.0,16.0,60.0,82.0,37.0,113.0,83.0,50.0,18.0,15.0,30.0,19.0,87.0,34.0,87.0,46.0,14.0,23.0,11.0,65.0,114.0,37.0,12.0,96.0,40.0,59.0,21.0,18.0,102.0,48.0
0.7,0.88,0.58,0.5,0.615,0.61,0.62,0.62,0.28,0.56,0.59,0.32,0.76,0.22,0.39,0.43,0.49,0.4,0.39,0.41,0.43,0.71,0.645,0.28,0.675,0.685,0.655,0.605,0.32,0.645,0.6,0.38,1.13,0.45,0.7,0.45,0.61,0.49,0.66,0.67,0.52,0.935,0.29,0.4,0.31,0.66,0.6,0.65,0.58,0.5,0.585
