Wine_0,Wine_1,Wine_10,Wine_11,Wine_12,Wine_13,Wine_14,Wine_15,Wine_16,Wine_17,Wine_18,Wine_19,Wine_2,Wine_3,Wine_4,Wine_5,Wine_6,Wine_7,Wine_8,Wine_9,Median
9.4,9.8,10.0,11.4,9.4,10.2,9.4,10.7,11.8,10.3,12.8,12.0,10.0,10.3,9.4,11.3,9.8,11.5,9.3,9.5,10.1
0.61,0.081,0.078,0.045,0.096,0.1,0.077,0.086,0.06,0.067,0.087,0.074,0.078,0.081,0.092,0.049,0.068,0.05,0.066,0.053,0.0775
1.0,0.05,0.49,0.08,0.0,0.22,0.04,0.06,0.4,0.25,0.0,0.53,0.24,0.29,0.45,0.4,0.04,0.24,0.1,0.3,0.24
0.9996,0.9966,0.9992,0.9949,0.9994,0.9967,0.9987,0.9965,0.99474,0.99721,0.99378,0.9962,0.99692,0.99603,0.99918,0.996,0.99712,0.9934,0.99655,0.9965,0.996575
9.2,7.0,10.6,6.4,9.1,8.6,6.9,7.5,7.5,5.9,5.6,9.4,9.0,8.2,10.0,7.9,7.1,5.0,7.6,7.1,7.55
32.0,13.0,20.0,19.0,11.0,7.0,7.0,20.0,12.0,72.0,3.0,6.0,10.0,27.0,20.0,38.0,19.0,32.0,27.0,36.0,19.5
2.74,3.39,3.19,3.49,3.35,3.2,3.69,3.38,3.26,3.33,3.71,3.2,3.29,3.25,3.15,3.33,3.44,3.74,3.39,2.94,3.33
3.4,2.0,3.2,2.1,2.6,2.0,3.0,2.6,2.2,13.4,2.2,2.4,1.7,1.6,2.5,2.2,2.1,1.6,1.5,2.2,2.2
2.0,0.57,0.7,0.49,0.83,0.56,0.91,0.59,0.64,0.54,0.63,1.13,0.67,0.54,0.43,0.93,0.67,0.62,0.51,1.62,0.635
69.0,54.0,78.0,48.0,26.0,27.0,27.0,44.0,20.0,160.0,11.0,18.0,21.0,45.0,88.0,67.0,27.0,96.0,55.0,127.0,46.5
0.52,0.735,0.34,0.67,0.795,0.53,0.54,0.53,0.52,0.29,0.66,0.27,0.785,0.43,0.35,0.18,0.69,1.04,0.665,0.31,0.53
